věznice	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	prumer propust	kategorie
Bělušice	0.008321775	0.011589404	0.007920792	0.007561437	0.014975042	0.013559322	0.071428571	0.292727273	0.305111821	0.223472669	0.347432024	0.375725021	0.341845381	0.155513118	C
Brno	0.112820513	0.267515924	0.347985348	0.301369863	0.244604317	0.141509434	0.25	0.552301255	0.440389294	0.490243902	0.332298137	0.212753886	0.304214167	0.307538926	B
Břeclav	0.166666667	0.038461538	0.073170732	0.266666667	0.107142857	0.068181818	0.222972973	0.343065693	0.229813665	0.259036145	0.278787879	0.263441504	0.300862852	0.201405461	AC
Č.Budějovice	0.191780822	0.182926829	0.178947368	0.161616162	0.11827957	0.132075472	0.245901639	0.655462185	0.511363636	0.639344262	0.584795322	0.362663496	0.337647721	0.33098496	B
Drahonice	#DIV/0!	#DIV/0!	0.185	0.22	0.175879397	0.102803738	0.224669604	0.497975709	0.395348837	0.203571429	0.049822064	0.141925585	0.329780956	0.229707029	B
Heřmanice	0.052742616	0.027479092	0.057784912	0.049689441	0.026359143	0.035131744	0.085669782	0.119015048	0.121333333	0.078014184	0.07656066	0.128158575	0.136949901	0.076529879	C
Horní Slavkov	0.045676998	0.023622047	0.08141321	0.014880952	0.02303523	0.009876543	0.01283697	0.018820577	0.041855204	0.049342105	0.021201413	0.029284226	0.08431142	0.035088992	C
Hradec Králové	0.151219512	0.259036145	0.196531792	0.136125654	0.246231156	0.24120603	0.422594142	0.766304348	0.276422764	0.322222222	0.363309353	0.324282086	0.379042129	0.31419441	A
Jiřice	0.075	0.123505976	0.107894737	0.069506726	0.042003231	0.02607362	0.048484848	0.083333333	0.083955224	0.037383178	0.03875969	0.061005178	0.078614359	0.0673477	C
Karviná	0.072289157	0.195876289	0.213592233	0.23	0.211009174	0.098901099	0.412790698	0.909090909	0.541436464	0.413407821	0.275641026	0.217706821	0.252438325	0.31109077	BCD
Kuřim	0.073322933	0.191240876	0.35908142	0.248407643	0.167641326	0.225210084	0.276119403	0.32815534	0.257194245	0.183050847	0.231686542	0.261224748	0.227508703	0.233064932	C
Kynšperk nad Ohří	0.083333333	0.153005464	0.333333333	0.07424594	0.080952381	0.032482599	0.137420719	0.064935065	0.056451613	0.067444877	0.08365019	0.053949414	0.098195427	0.101492335	B
Liberec	0.153846154	0.047619048	0.085106383	0.123287671	0.040909091	0.043103448	0.069958848	0.220930233	0.214876033	0.26394052	0.209558824	0.17295542	0.266743566	0.147141172	B
Litoměřice	0.077777778	0.132075472	0.048387097	0.11627907	0.088607595	0.0625	0.144067797	0.431818182	0.236111111	0.185628743	0.225165563	0.202305051	0.299815498	0.173118381	B
Mírov	0.026525199	0.012626263	0.019230769	0.003076923	0.008595989	0.010989011	0.039215686	0.055702918	0.050938338	0.029490617	0.015625	0.0149985	0.009656704	0.022820917	D
Nové Sedlo	0.022140221	0.02559415	0.059299191	0.047770701	0.055793991	0.070967742	0.268	0.314851485	0.199261993	0.059245961	0.01509434	0.013789028	0.255332837	0.108241665	B
Odolov	0.224880383	0.279569892	0.356060606	0.162037037	0.149305556	0.14137931	0.235474006	0.417721519	0.366366366	0.410714286	0.5	0.396997885	0.367107195	0.308278003	B
Olomouc	0.140625	0.080645161	0.166666667	0.107142857	0.113821138	0.185185185	0.181034483	0.6	0.445378151	0.365517241	0.361702128	0.17214173	0.245363354	0.2434787	B
Opava	0.084985836	0.106145251	0.125766871	0.100574713	0.140703518	0.131764706	0.24137931	0.425389755	0.441048035	0.486702128	0.545248869	0.376944266	0.459333006	0.281998943	B
Oráčov	0.079449153	0.105624143	0.106995885	0.037527594	0.048728814	0.024299065	0.041493776	0.061895551	0.059027778	0.056291391	0.050847458	0.049919661	0.077962983	0.061543327	C
Ostrava	0.091836735	0.171717172	0.109489051	0.086294416	0.085470085	0.104895105	0.131034483	0.226190476	0.295964126	0.22	0.255033557	0.217163126	0.222675121	0.170597189	B
Ostrov nad Ohří	0.042622951	0.083067093	0.049261084	0.074509804	0.133431085	0.260932945	0.545454545	0.610328638	0.44612286	0.719815668	0.911334552	0.859911734	0.802797945	0.426122377	B
Pardubice	0.048192771	0.071428571	0.099322799	0.076115486	0.047511312	0.042207792	0.143572621	0.2656	0.224817518	0.181944444	0.174690509	0.206539106	0.307930185	0.145374855	B
Plzeň	0.038834951	0.036505867	0.03926097	0.016913319	0.021379981	0.024084778	0.070284698	0.122687439	0.119301649	0.076858108	0.085691824	0.051214461	0.037055428	0.056928729	C
Praha - Pankrác	0.051546392	0.062130178	0.059659091	0.083756345	0.082089552	0.090909091	0.251295337	0.322834646	0.253393665	0.232924694	0.317254174	0.328880647	0.354965559	0.191664567	BC
Praha - Ruzyně	0.038888889	0.059139785	0.082352941	0.053475936	0.07	0.047120419	0.197247706	0.349775785	0.358108108	0.383561644	0.362637363	0.334267568	0.402209945	0.210675853	B
Příbram	0.036340852	0.045033113	0.024691358	0.005602241	0.006242197	0.011464968	0.033018868	0.069634703	0.079958463	0.055611729	0.076530612	0.095568529	0.084737881	0.048033501	C
Rapotice	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.332142857	0.469230769	0.308238752	0.276955763	0.346642035	B
Rýnovice	0.01754386	0.027914614	0.070866142	0.055776892	0.036	0.012635379	0.063793103	0.081439394	0.047377327	0.058631922	0.047297297	0.033839742	0.035966695	0.045314028	C
Stráž pod Ralskem	0.017994859	0.056801196	0.038123167	0.024296675	0.0243309	0.017123288	0.057627119	0.1	0.135764944	0.099304866	0.16449348	0.181031343	0.236915554	0.088754415	B
Světlá nad Sázavou	0.012195122	0.065359477	0.116438356	0.018518519	0.034883721	0.052873563	0.111570248	0.24665392	0.288640596	0.302047782	0.253894081	0.207427233	0.234351475	0.149604161	BC
Teplice	#DIV/0!	0.263157895	0.125	0.107142857	0.05	0.071428571	0.153846154	0.296296296	0.135135135	0.189655172	0.123076923	0.227790433	0.088183422	0.152559405	B
Valdice	0.003207184	0.005369128	0.005752637	0.002617801	0.011026293	0.006037736	0.020833333	0.033460803	0.030825023	0.020869565	0.020942408	0.017058879	0.021961225	0.015381693	CD
Vinařice	0.023529412	0.021596244	0.0125	0.012257406	0.003108808	0.005411255	0.037959668	0.076464747	0.045495094	0.018437226	0.032171582	0.024415166	0.035989023	0.026871972	C
Všehrdy	0.288052373	0.391791045	0.457380457	0.28342246	0.486631016	0.525519849	0.898799314	1.240072202	1.266533066	0.818644068	0.895008606	0.633466896	0.586109563	0.674725455	B - mladiství
Znojmo	0.078947368	0.06779661	0.32231405	0.122222222	0.207650273	0.163551402	0.267326733	0.465346535	0.487562189	0.410377358	0.354066986	0.262789068	0.39971449	0.27766656	B
